order_id,order_date,customer_id,product_id,quantity,price,firstname,lastname,email,product_name,stock,total_price
75,2024-05-10,26,1,4,94.15,Firstname_26,Lastname_26,user26@example.com,Product_1,112,376.6
76,2024-05-10,5,16,2,71.91,Firstname_5,Lastname_5,user5@example.com,Product_16,174,143.82
77,2024-05-10,20,3,2,82.61,,,,Product_3,139,165.22
78,2024-05-10,16,20,2,29.55,,,,Product_20,114,59.1
79,2024-05-10,22,14,5,44.53,,,,Product_14,108,222.65
80,2024-05-10,21,1,3,14.04,Firstname_21,Lastname_21,user21@example.com,Product_1,112,42.12
81,2024-05-10,16,15,1,37.06,,,,Product_15,61,37.06
82,2024-05-10,18,15,3,33.02,,,,Product_15,61,99.06
83,2024-05-10,1,17,3,81.64,Firstname_1,Lastname_1,user1@example.com,Product_17,67,244.92000000000002
84,2024-05-10,20,20,5,5.09,,,,Product_20,114,25.45
85,2024-05-10,12,8,1,32.96,,,,Product_8,80,32.96
86,2024-05-10,28,15,1,15.38,,,,Product_15,61,15.38
87,2024-05-10,30,20,3,35.31,,,,Product_20,114,105.93
88,2024-05-10,12,1,2,78.21,,,,Product_1,112,156.42
89,2024-05-10,11,13,4,50.87,,,,Product_13,149,203.48
90,2024-05-10,2,13,1,74.85,Firstname_2,Lastname_2,user2@example.com,Product_13,149,74.85
91,2024-05-10,30,5,3,56.85,,,,Product_5,62,170.55
92,2024-05-10,34,5,1,67.78,,,,Product_5,62,67.78
93,2024-05-10,30,16,4,68.88,,,,Product_16,174,275.52
94,2024-05-10,24,16,2,68.79,,,,Product_16,174,137.58
95,2024-05-10,25,16,5,13.64,Firstname_25,Lastname_25,user25@example.com,Product_16,174,68.2
96,2024-05-10,28,12,3,84.98,,,,Product_12,39,254.94
97,2024-05-10,25,12,1,74.31,Firstname_25,Lastname_25,user25@example.com,Product_12,39,74.31
